lang,word
Old English,Ahead
Old French,Ahead
Chichewa,Ahead
Latin,Ahead
Proto-West Germanic,Ahead
English,Ahoy
Latin,Aid
English,Aid
Proto-Indo-European,Aid
Proto-Italic,Aid
Old French,Aid
Middle English,Aid
Latin,Aides
English,Aides
Proto-Indo-European,Aides
Proto-Italic,Aides
Middle French,Aides
Middle English,Aides
Old English,Aides
Proto-Germanic,Aides
Old French,Aides
Proto-West Germanic,Aides
English,Ails
Proto-Indo-European,Ails
Old English,Ails
Proto-Germanic,Ails
Middle English,Ails
Proto-West Germanic,Ails
English,Aim
Ancient Greek,Aim
Hebrew,Aim
Proto-Indo-European,Aim
Latin,Aim
Turkish,Aim
Proto-Germanic,Aim
Old English,Aim
Biblical Hebrew,Aim
Old French,Aim
Middle English,Aim
Proto-Turkic,Aim
Old Latin,Aim
Ecclesiastical Latin,Aim
Ottoman Turkish,Aim
Proto-West Germanic,Aim
Old Anatolian Turkish,Aim
English,Aimed
English,Aimlessly
Ancient Greek,Aimlessly
Hebrew,Aimlessly
Proto-Indo-European,Aimlessly
Latin,Aimlessly
Turkish,Aimlessly
Proto-Germanic,Aimlessly
Middle English,Aimlessly
Old English,Aimlessly
Biblical Hebrew,Aimlessly
Old French,Aimlessly
Proto-Turkic,Aimlessly
Old Latin,Aimlessly
Ecclesiastical Latin,Aimlessly
Ottoman Turkish,Aimlessly
Proto-West Germanic,Aimlessly
Old Anatolian Turkish,Aimlessly
Proto-Indo-European,Aint
English,Aint
Proto-Germanic,Aint
Old Norse,Aint
English,Air
Latin,Air
Proto-Indo-European,Air
Anglo-Norman,Air
Middle English,Air
English,Aisle
Latin,Aisle
Ancient Greek,Aisle
Proto-Indo-European,Aisle
Proto-Hellenic,Aisle
Middle English,Aisle
Old English,Aisle
Proto-Germanic,Aisle
Proto-West Germanic,Aisle
English,Ajar
Proto-Indo-European,Ajar
Proto-Germanic,Ajar
Middle English,Ajar
Old English,Ajar
Ancient Greek,Akin
Latin,Akin
English,Akin
Middle French,Akin
Proto-Indo-European,Akin
Proto-Italic,Akin
Middle Dutch,Akin
Russian,Akin
Proto-Hellenic,Akin
Old French,Akin
Old English,Akin
Middle English,Akin
Proto-Germanic,Akin
Spanish,Akin
Portuguese,Akin
Old Latin,Akin
Anglo-Norman,Akin
German,Akin
Proto-West Germanic,Akin
Old Church Slavonic,Akin
Old High German,Akin
Middle High German,Akin
Germanic,Akin
Vulgar Latin,Akin
Indo-European,Akin
Late Latin,Akin
English,Alabama
English,Alarm
Vietnamese,Alarm
English,Alarmed
Vietnamese,Alarmed
Ancient Greek,Alas
English,Alas
Proto-Indo-European,Alas
Proto-Hellenic,Alas
Spanish,Alas
Portuguese,Alas
Proto-Germanic,Alas
Old Portuguese,Alas
Latin,Alas
Old Spanish,Alas
Proto-Italic,Alas
Old Latin,Alas
Proto-Indo-European,Alb
English,Alb
Proto-Italic,Alb
Latin,Alb
Ancient Greek,Alb
French,Alb
Middle French,Alb
English,Albatross
Ancient Greek,Albatross
Proto-Indo-European,Albatross
Arabic,Albatross
Portuguese,Albatross
Spanish,Albatross
Aramaic,Albatross
Latin,Albemarle
English,Albemarle
French,Albemarle
English,Albert
Proto-Indo-European,Albert
Ancient Greek,Albert
Proto-Germanic,Albert
Old English,Albert
Proto-Hellenic,Albert
Old French,Albert
Arabic,Albicore
French,Albicore
English,Albicore
English,Albino
Proto-Indo-European,Albino
Proto-Italic,Albino
Ancient Greek,Albino
Spanish,Albino
Portuguese,Albino
Latin,Albino
Medieval Latin,Albino
English,Ale
French,Ale
Dutch,Ale
Proto-Indo-European,Ale
Proto-Italic,Ale
Middle Dutch,Ale
Old Dutch,Ale
Middle French,Ale
Sanskrit,Ale
Italian,Ale
Proto-Celtic,Ale
Prakrit,Ale
Marathi,Ale
Old English,Ale
Old French,Ale
Proto-Germanic,Ale
Middle English,Ale
Latin,Ale
Proto-West Germanic,Ale
Vulgar Latin,Ale
English,Aleak
Proto-Indo-European,Aleak
Latin,Aleak
Proto-Italic,Aleak
Old East Slavic,Aleak
Proto-Balto-Slavic,Aleak
Middle Dutch,Aleak
Old Dutch,Aleak
Phoenician,Aleak
Old French,Aleak
Proto-Germanic,Aleak
Old English,Aleak
Proto-Slavic,Aleak
Middle English,Aleak
Old Norse,Aleak
Etruscan,Aleak
Egyptian,Aleak
Russian,Aleak
Ancient Greek,Aleak
Proto-West Germanic,Aleak
Germanic,Aleak
Vulgar Latin,Aleak
Ancient Greek,Alee
English,Alee
Latin,Alee
Middle French,Alee
Proto-Indo-European,Alee
French,Alee
Proto-Italic,Alee
Middle Dutch,Alee
Russian,Alee
Greek,Alee
Proto-Hellenic,Alee
Old French,Alee
Old English,Alee
Middle English,Alee
Proto-Germanic,Alee
Spanish,Alee
Old Latin,Alee
Anglo-Norman,Alee
German,Alee
Proto-West Germanic,Alee
Old Church Slavonic,Alee
Old High German,Alee
Middle High German,Alee
Chinese Mandarin,Alee
Germanic,Alee
Vulgar Latin,Alee
Proto-Celtic,Alee
Indo-European,Alee
Irish,Alee
Middle Irish,Alee
Late Latin,Alee
Old Irish,Alee
English,Alert
French,Alert
Italian,Alert
Proto-Indo-European,Alert
Latin,Alert
Proto-Italic,Alert
Vulgar Latin,Alert
Late Latin,Alert
Ancient Greek,Alexander
English,Alexander
Latin,Alexander
Proto-Hellenic,Alexander
Proto-Indo-European,Alexander
English,Alexanders
Proto-Indo-European,Alfred
English,Alfred
Latin,Alfred
Old English,Alfred
Proto-Germanic,Alfred
Proto-West Germanic,Alfred
Middle English,Alfred
English,Algerine
Latin,Algerine
Arabic,Algerine
French,Algerine
Proto-Indo-European,Algerine
Proto-Italic,Algerine
Esperanto,Algerine
Ancient Greek,Algerine
Old French,Algerine
Middle French,Algerine
Interlingua,Algerine
Algerian Arabic,Algerine
Middle English,Algerine
English,Algiers
Arabic,Algiers
French,Algiers
Algerian Arabic,Algiers
English,Algo
English,Alien
Latin,Alien
Proto-Indo-European,Alien
Old French,Alien
Middle English,Alien
Proto-Italic,Alien
English,Aliens
Latin,Aliens
Proto-Indo-European,Aliens
Proto-Germanic,Aliens
Old English,Aliens
Old French,Aliens
Middle English,Aliens
Proto-Italic,Aliens
English,Alike
Proto-Indo-European,Alike
Proto-Germanic,Alike
Old English,Alike
Proto-West Germanic,Alike
Middle English,Alike
English,Aliment
English,Alive
Old English,Alive
English,All
Proto-Indo-European,All
Old English,All
Proto-Germanic,All
Middle English,All
Proto-West Germanic,All
English,Allay
Proto-Indo-European,Allay
Proto-Germanic,Allay
Middle English,Allay
Old English,Allay
English,Alleged
Middle English,Alleged
Old English,Alleged
Spanish,Alleged
Proto-Germanic,Alleged
Proto-West Germanic,Alleged
English,Allegiance
Proto-Indo-European,Allegiance
Proto-Germanic,Allegiance
Old French,Allegiance
Proto-Italic,Allegiance
Anglo-Norman,Allegiance
German,Allegiance
Latin,Allegiance
Vulgar Latin,Allegiance
Middle English,Allegiance
English,Allegorical
Middle English,Allegorical
Old English,Allegorical
Proto-Germanic,Allegorical
Proto-West Germanic,Allegorical
Proto-Indo-European,Allegory
Ancient Greek,Allegory
English,Allegory
Proto-Hellenic,Allegory
Old French,Allegory
Middle English,Allegory
Latin,Allegory
English,Alley
Proto-Indo-European,Alley
Japanese,Alley
Old English,Alley
Old French,Alley
Proto-Germanic,Alley
Middle English,Alley
Vulgar Latin,Alley
Anglo-Norman,Alley
Latin,Allies
English,Allies
Proto-Indo-European,Allies
Proto-Italic,Allies
Old French,Allies
Old Latin,Allies
Middle English,Allies
Indo-European,Allies
English,Allotted
English,Allow
Middle English,Allow
Old French,Allow
Latin,Allowance
English,Allowance
Proto-Indo-European,Allowance
Proto-Italic,Allowance
Ancient Greek,Allowance
Old French,Allowance
Old Latin,Allowance
Middle English,Allowance
Proto-Hellenic,Allowance
English,Allowed
Vietnamese,Allowed
English,Allowing
English,Allude
Middle French,Allude
Proto-Indo-European,Allude
Latin,Allude
Proto-Italic,Allude
Old Latin,Allude
Indo-European,Allude
English,Alluding
English,Allured
English,Allures
Proto-Indo-European,Allures
Middle English,Allures
Old English,Allures
Proto-Germanic,Allures
Old French,Allures
Vulgar Latin,Allures
Proto-West Germanic,Allures
English,Alluring
English,Alluringly
Middle English,Alluringly
Old English,Alluringly
Proto-Germanic,Alluringly
Proto-West Germanic,Alluringly
Latin,Allusion
English,Allusion
Proto-Indo-European,Allusion
Ancient Greek,Allusion
Proto-Italic,Allusion
Old Latin,Allusion
Indo-European,Allusion
English,Almanac
Latin,Almanac
Arabic,Almanac
Dutch,Almanac
Old French,Almanac
Persian,Almanac
Andalusian Arabic,Almanac
Greek,Almanac
Medieval Latin,Almanac
Ancient Greek,Almanac
Middle Dutch,Almanac
Middle English,Almanac
Proto-Semitic,Almanac
English,Almighty
Proto-Indo-European,Almighty
Old English,Almighty
Proto-Germanic,Almighty
Middle English,Almighty
Proto-West Germanic,Almighty
English,Almost
Old English,Almost
English,Alms
Ancient Greek,Alms
Proto-Indo-European,Alms
Old High German,Alms
French,Alms
Old English,Alms
Old French,Alms
Proto-Germanic,Alms
German,Alms
Middle English,Alms
Latin,Alms
Proto-West Germanic,Alms
Late Latin,Alms
Middle High German,Alms
Vulgar Latin,Alms
English,Aloft
Old Norse,Aloft
English,Alone
Proto-Indo-European,Alone
Old English,Alone
Proto-Germanic,Alone
Middle English,Alone
Proto-West Germanic,Alone
English,Along
Proto-Indo-European,Along
Old English,Along
Proto-Germanic,Along
Proto-West Germanic,Along
English,Alongside
Proto-Indo-European,Alongside
Latin,Alongside
Old English,Alongside
Proto-Germanic,Alongside
Middle English,Alongside
Proto-Italic,Alongside
Proto-West Germanic,Alongside
Ancient Greek,Alongside
Medieval Latin,Alongside
Late Latin,Alongside
Germanic,Alongside
Classical Latin,Alongside
Livonian,Alongside
English,Aloof
Dutch,Aloof
Proto-Indo-European,Aloof
Middle Dutch,Aloof
Old Dutch,Aloof
Middle English,Aloof
Proto-Germanic,Aloof
Old English,Aloof
Proto-West Germanic,Aloof
English,Aloud
Middle English,Aloud
English,Alow
Proto-Indo-European,Alow
Old English,Alow
Proto-Germanic,Alow
Middle English,Alow
Proto-West Germanic,Alow
Germanic,Alow
Latin,Alpine
English,Alpine
Proto-Indo-European,Alpine
Proto-Italic,Alpine
English,Alps
Latin,Alps
English,Already
English,Alright
Proto-Indo-European,Alright
Middle English,Alright
Old English,Alright
Proto-Germanic,Alright
Proto-West Germanic,Alright
English,Also
Old English,Also
Middle English,Also
Proto-Germanic,Also
Proto-West Germanic,Also
Latin,Altar
English,Altar
Proto-Indo-European,Altar
Proto-Italic,Altar
Old English,Altar
English,Alter
Latin,Alter
Proto-Indo-European,Alter
Old French,Alter
Medieval Latin,Alter
Proto-Italic,Alter
English,Altered
English,Altering
Latin,Altering
Proto-Indo-European,Altering
Old French,Altering
Medieval Latin,Altering
Proto-Italic,Altering
Latin,Alternate
English,Alternate
Proto-Indo-European,Alternate
Proto-Italic,Alternate
Old Latin,Alternate
English,Alternately
Latin,Alternately
Proto-Indo-European,Alternately
Proto-Italic,Alternately
Middle English,Alternately
Old English,Alternately
Proto-Germanic,Alternately
Proto-West Germanic,Alternately
Old Latin,Alternately
English,Alternating
Latin,Alternating
Proto-Indo-European,Alternating
Proto-Italic,Alternating
Middle English,Alternating
Old English,Alternating
Proto-Germanic,Alternating
Proto-West Germanic,Alternating
Old Latin,Alternating
English,Although
Proto-Indo-European,Although
Old English,Although
Proto-Germanic,Although
Proto-West Germanic,Although
Latin,Altitude
English,Altitude
Proto-Indo-European,Altitude
Proto-Italic,Altitude
English,Altogether
Middle English,Altogether
English,Always
Proto-Indo-European,Always
Proto-Germanic,Always
Old English,Always
Proto-West Germanic,Always
Middle English,Always
English,Am
Proto-Indo-European,Am
Old English,Am
Proto-Germanic,Am
Middle English,Am
Proto-West Germanic,Am
English,Amaze
Proto-Indo-European,Amaze
Old English,Amaze
Proto-Germanic,Amaze
Middle English,Amaze
Proto-West Germanic,Amaze
Germanic,Amaze
English,Amazement
Proto-Indo-European,Amazement
Old English,Amazement
Proto-Germanic,Amazement
Middle English,Amazement
Proto-West Germanic,Amazement
Germanic,Amazement
Korean,Amazement
English,Amazing
Proto-Indo-European,Amazing
Middle English,Amazing
Old English,Amazing
Proto-Germanic,Amazing
Proto-West Germanic,Amazing
Germanic,Amazing
English,Amazingly
Proto-Indo-European,Amazingly
Middle English,Amazingly
Old English,Amazingly
Proto-Germanic,Amazingly
Proto-West Germanic,Amazingly
Germanic,Amazingly
Ancient Greek,Amber
Latin,Amber
English,Amber
Proto-Indo-European,Amber
French,Amber
Arabic,Amber
Proto-Hellenic,Amber
Sanskrit,Amber
Proto-Italic,Amber
Old English,Amber
Proto-Germanic,Amber
Middle English,Amber
Middle Persian,Amber
Hindi,Amber
Chichewa,Amber
Old French,Amber
Middle Dutch,Amber
Proto-West Germanic,Amber
Classical Persian,Amber
Indo-European,Amber
Vulgar Latin,Amber
English,Ambergris
Old French,Ambergris
Latin,Ambiguous
English,Ambiguous
Proto-Indo-European,Ambiguous
Proto-Italic,Ambiguous
Ancient Greek,Ambiguous
Latin,Ambition
English,Ambition
Proto-Indo-European,Ambition
Proto-Italic,Ambition
Ancient Greek,Ambition
English,Ambitious
Latin,Ambitious
Ancient Greek,Ambitious
Proto-Indo-European,Ambitious
Proto-Italic,Ambitious
Middle English,Ambitious
Old English,Ambitious
Classical Latin,Ambitious
Proto-Germanic,Ambitious
Middle French,Ambitious
Proto-West Germanic,Ambitious
Old Latin,Ambitious
English,Amelia
Proto-Indo-European,Amelia
Old English,Amelia
Proto-Germanic,Amelia
Middle English,Amelia
Proto-West Germanic,Amelia
Latin,Amen
English,Amen
Ancient Greek,Amen
Hebrew,Amen
Proto-Indo-European,Amen
Proto-Italic,Amen
Biblical Hebrew,Amen
Old French,Amen
Middle English,Amen
English,Amend
Latin,Amend
Proto-Indo-European,Amend
Ancient Greek,Amend
Middle Dutch,Amend
Russian,Amend
Old French,Amend
Proto-Germanic,Amend
Middle English,Amend
German,Amend
Old Church Slavonic,Amend
Proto-West Germanic,Amend
Old High German,Amend
Proto-Italic,Amend
Old Latin,Amend
Middle High German,Amend
Anglo-Norman,Amend
Late Latin,Amend
English,America
Proto-Indo-European,America
Latin,America
Proto-Celtic,America
Japanese,America
Proto-Germanic,America
New Latin,America
Italian,America
English,American
Proto-Indo-European,American
Latin,American
Proto-Celtic,American
Japanese,American
Proto-Germanic,American
Old Norse,American
Proto-Norse,American
Old English,American
New Latin,American
Middle English,American
Italian,American
English,Americans
Proto-Indo-European,Americans
Latin,Americans
Proto-Celtic,Americans
Japanese,Americans
Proto-Germanic,Americans
Old Norse,Americans
Proto-Norse,Americans
Old English,Americans
New Latin,Americans
Middle English,Americans
Italian,Americans
English,Amid
Middle English,Amid
Old English,Amid
English,Amidst
Middle English,Amidst
Old English,Amidst
English,Among
Proto-Indo-European,Among
Ancient Greek,Among
Middle Dutch,Among
Russian,Among
Old English,Among
Proto-Germanic,Among
Middle English,Among
Latin,Among
German,Among
Old Church Slavonic,Among
Proto-West Germanic,Among
Old High German,Among
Proto-Italic,Among
Middle High German,Among
Germanic,Among
Vulgar Latin,Among
English,Amongst
Proto-Indo-European,Amongst
Ancient Greek,Amongst
Middle Dutch,Amongst
Russian,Amongst
Old English,Amongst
Proto-Germanic,Amongst
Middle English,Amongst
Latin,Amongst
German,Amongst
Old Church Slavonic,Amongst
Proto-West Germanic,Amongst
Old High German,Amongst
Proto-Italic,Amongst
Middle High German,Amongst
Germanic,Amongst
Vulgar Latin,Amongst
English,Amorous
Latin,Amorous
Proto-Indo-European,Amorous
Proto-Italic,Amorous
Old English,Amorous
Middle English,Amorous
Old French,Amorous
Proto-Germanic,Amorous
Old Latin,Amorous
Proto-West Germanic,Amorous
English,Amount
Latin,Amount
Proto-Indo-European,Amount
Proto-Italic,Amount
Portuguese,Amount
Old French,Amount
Old Latin,Amount
Old Portuguese,Amount
Middle English,Amount
Indo-European,Amount
English,Amours
English,Amphibious
Ancient Greek,Amphibious
Proto-Indo-European,Amphibious
Old English,Amphibious
Middle English,Amphibious
Proto-Germanic,Amphibious
Proto-West Germanic,Amphibious
English,Amphitheatrical
Vietnamese,Amphitheatrical
Latin,Ample
English,Ample
Proto-Indo-European,Ample
Proto-Italic,Ample
Ancient Greek,Ample
English,Amplified
Latin,Amplify
English,Amplify
Proto-Indo-European,Amplify
Proto-Italic,Amplify
Old French,Amplify
Middle English,Amplify
Late Latin,Amplify
Old Latin,Amplify
Latin,Amputate
English,Amputate
Proto-Indo-European,Amputate
Proto-Italic,Amputate
Ancient Greek,Amputate
Old Latin,Amputate
English,Amputated
Latin,Amputation
English,Amputation
Ancient Greek,Amputation
Proto-Indo-European,Amputation
Proto-Italic,Amputation
Middle French,Amputation
Old Latin,Amputation
Latin,Amsterdam
Proto-Indo-European,Amsterdam
French,Amsterdam
Dutch,Amsterdam
English,Amsterdam
Middle Dutch,Amsterdam
Proto-Italic,Amsterdam
Middle French,Amsterdam
Ancient Greek,Amsterdam
Proto-Germanic,Amsterdam
Old Dutch,Amsterdam
Spanish,Amsterdam
Old French,Amsterdam
Late Latin,Amsterdam
Proto-West Germanic,Amsterdam
Medieval Latin,Amsterdam
English,Amusing
Latin,Amusing
Proto-Indo-European,Amusing
Proto-Italic,Amusing
Old French,Amusing
Old English,Amusing
Middle English,Amusing
Proto-Germanic,Amusing
Proto-West Germanic,Amusing
English,An
Proto-Indo-European,An
Proto-Germanic,An
Old English,An
Middle English,An
Proto-West Germanic,An
Latin,Ana
English,Ana
Proto-Indo-European,Ana
Old Latin,Ana
English,Anaconda
Sinhalese,Anaconda
New Latin,Anaconda
English,Anak
Ancient Greek,Anak
Latin,Anak
Proto-Indo-European,Anak
French,Anak
Middle French,Anak
Hungarian,Anak
Proto-Sino-Tibetan,Anak
Middle Welsh,Anak
Proto-Hellenic,Anak
Biblical Hebrew,Anak
Old French,Anak
Proto-Uralic,Anak
Proto-Italic,Anak
Arabic,Analogical
English,Analogical
Latin,Analogical
German,Analogical
Old French,Analogical
Proto-Italic,Analogical
Aramaic,Analogical
Middle French,Analogical
Andalusian Arabic,Analogical
New Latin,Analogical
Akkadian,Analogical
Middle English,Analogical
Ancient Greek,Analogical
Ancient Greek,Analogies
English,Analogies
Latin,Analogies
Proto-Indo-European,Analogies
Proto-Hellenic,Analogies
English,Analogous
Ancient Greek,Analogous
Proto-Indo-European,Analogous
Latin,Analogous
Old English,Analogous
Middle English,Analogous
Proto-Germanic,Analogous
Proto-West Germanic,Analogous
Proto-Hellenic,Analogous
Ancient Greek,Analogy
English,Analogy
Latin,Analogy
Proto-Indo-European,Analogy
Proto-Hellenic,Analogy
English,Analyse
English,Analysed
Ancient Greek,Analysis
English,Analysis
Proto-Indo-European,Analysis
Medieval Latin,Analysis
Proto-Hellenic,Analysis
English,Analytic
Arabic,Anatomical
Latin,Anatomical
English,Anatomical
French,Anatomical
Ancient Greek,Anatomical
Proto-Indo-European,Anatomical
Proto-Italic,Anatomical
German,Anatomical
Old French,Anatomical
Aramaic,Anatomical
Andalusian Arabic,Anatomical
New Latin,Anatomical
Middle French,Anatomical
Akkadian,Anatomical
Middle English,Anatomical
Proto-Hellenic,Anatomical
Latin,Anatomist
English,Anatomist
Ancient Greek,Anatomist
Proto-Indo-European,Anatomist
Proto-Italic,Anatomist
Old French,Anatomist
Proto-Hellenic,Anatomist
Middle English,Anatomist
Latin,Anatomy
English,Anatomy
Ancient Greek,Anatomy
Proto-Indo-European,Anatomy
Proto-Italic,Anatomy
Middle English,Anatomy
Proto-Hellenic,Anatomy
Old French,Anatomy
Latin,Ancestors
English,Ancestors
Proto-Indo-European,Ancestors
Ancient Greek,Ancestors
Proto-Italic,Ancestors
French,Ancestors
Middle French,Ancestors
Proto-Germanic,Ancestors
Old English,Ancestors
Old French,Ancestors
Proto-Slavic,Ancestors
Middle English,Ancestors
Anglo-Norman,Ancestors
Proto-West Germanic,Ancestors
Ukrainian,Ancestors
Indo-European,Ancestors
Latin,Ancestress
English,Ancestress
Ancient Greek,Ancestress
Proto-Indo-European,Ancestress
French,Ancestress
Swedish,Ancestress
Italian,Ancestress
Middle French,Ancestress
Proto-Hellenic,Ancestress
Spanish,Ancestress
Old French,Ancestress
Proto-Germanic,Ancestress
Old Norse,Ancestress
Portuguese,Ancestress
Middle English,Ancestress
Proto-Italic,Ancestress
Late Latin,Ancestress
Russian,Ancestress
Old Spanish,Ancestress
Old Latin,Ancestress
English,Ancestry
Old French,Ancestry
Middle English,Ancestry
English,Anchor
Ancient Greek,Anchor
Proto-Indo-European,Anchor
Latin,Anchor
Proto-Hellenic,Anchor
Latin,Ancient
English,Ancient
Proto-Indo-European,Ancient
Old French,Ancient
Old Latin,Ancient
Vulgar Latin,Ancient
Proto-Germanic,And
Old English,And
Middle English,And
Proto-West Germanic,And
English,Andes
Quechua,Andes
Spanish,Andes
Ancient Greek,Andrew
English,Andrew
Proto-Hellenic,Andrew
Proto-Indo-European,Andromeda
Ancient Greek,Andromeda
Latin,Andromeda
English,Andromeda
Proto-Hellenic,Andromeda
English,Anew
Middle English,Anew
Old English,Anew
English,Angel
Latin,Angel
Ancient Greek,Angel
Proto-Indo-European,Angel
Old English,Angel
Proto-Germanic,Angel
Middle English,Angel
Old French,Angel
Anglo-Norman,Angel
Proto-West Germanic,Angel
Late Latin,Angel
Ancient Greek,Angelo
English,Angelo
French,Angelo
Latin,Angelo
Old Norse,Angelo
Old Saxon,Angelo
Old English,Angelo
Proto-West Germanic,Angelo
Koine Greek,Angelo
Vulgar Latin,Angelo
English,Angels
Ancient Greek,Angels
Latin,Angels
Proto-Indo-European,Angels
Proto-Germanic,Angels
Old English,Angels
Old Norse,Angels
Middle English,Angels
Old Saxon,Angels
Proto-West Germanic,Angels
Koine Greek,Angels
English,Anger
Proto-Indo-European,Anger
Proto-Germanic,Anger
Old Norse,Anger
Middle English,Anger
English,Angle
Ancient Greek,Angle
Latin,Angle
Proto-Indo-European,Angle
Middle French,Angle
Middle English,Angle
Old Norse,Angle
Old English,Angle
Proto-Germanic,Angle
Old Saxon,Angle
Proto-West Germanic,Angle
Late Latin,Angle
Old French,Angle
Koine Greek,Angle
English,Angles
English,Angrily
Proto-Indo-European,Angrily
Middle English,Angrily
Old English,Angrily
Proto-Germanic,Angrily
Old Norse,Angrily
Old French,Angrily
Chichewa,Angrily
Latin,Angrily
Proto-West Germanic,Angrily
English,Angry
Proto-Indo-European,Angry
Middle English,Angry
Proto-Germanic,Angry
Old English,Angry
Old Norse,Angry
English,Anguish
Latin,Anguish
Proto-Indo-European,Anguish
Ancient Greek,Anguish
Proto-Italic,Anguish
Old Irish,Anguish
Old French,Anguish
Middle English,Anguish
Anglo-Norman,Anguish
Middle Irish,Anguish
Proto-Hellenic,Anguish
Proto-Celtic,Anguish
English,Angular
Proto-Indo-European,Angular
Latin,Angular
Middle English,Angular
English,Angularly
Proto-Indo-European,Angularly
Middle English,Angularly
Old English,Angularly
Latin,Angularly
Proto-Germanic,Angularly
Proto-West Germanic,Angularly
English,Animal
Latin,Animal
Proto-Italic,Animal
Proto-Indo-European,Animal
Latin,Animals
English,Animals
Proto-Italic,Animals
Proto-Indo-European,Animals
French,Animals
Italian,Animals
Old French,Animals
Spanish,Animals
Middle English,Animals
English,Animate
Latin,Animate
Proto-Italic,Animate
Proto-Indo-European,Animate
Middle English,Animate
Proto-Germanic,Animate
Old English,Animate
Old Latin,Animate
English,Animated
Middle English,Animated
Old English,Animated
Proto-Germanic,Animated
Proto-West Germanic,Animated
English,Animating
Vietnamese,Animating
Latin,Animation
English,Animation
Ancient Greek,Animation
Proto-Indo-European,Animation
Proto-Italic,Animation
Old Latin,Animation
Latin,Animosity
English,Animosity
French,Animosity
Proto-Indo-European,Animosity
Proto-Italic,Animosity
Pali,Animosity
Old Latin,Animosity
Latin,Annals
English,Annals
Middle French,Annals
Proto-Italic,Annals
Proto-Indo-European,Annals
English,Anne
Latin,Anne
Ancient Greek,Anne
Proto-Indo-European,Anne
Proto-Hellenic,Anne
Middle English,Anne
Proto-Germanic,Anne
Old English,Anne
Old Norse,Anne
Proto-Norse,Anne
Proto-West Germanic,Anne
English,Annihilated
English,Annihilating
Vietnamese,Annihilating
Latin,Annihilation
English,Annihilation
Middle French,Annihilation
Ancient Greek,Annihilation
Proto-Indo-European,Annihilation
Proto-Italic,Annihilation
Indo-European,Annihilation
Old Latin,Annihilation
English,Anno
Gaulish,Anno
Proto-Celtic,Anno
Proto-Indo-European,Anno
Old English,Anno
Proto-Germanic,Anno
Proto-West Germanic,Anno
Middle English,Anno
Celtic,Anno
English,Announced
Latin,Announced
Proto-Indo-European,Announced
Proto-Italic,Announced
Middle English,Announced
Old English,Announced
Old French,Announced
English,Announcement
Middle French,Announcement
Latin,Announces
English,Announces
Proto-Indo-European,Announces
Proto-Italic,Announces
Middle English,Announces
Old English,Announces
Proto-Germanic,Announces
Old French,Announces
Proto-West Germanic,Announces
English,Annual
Middle English,Annual
Old English,Annual
Latin,Annual
Proto-Germanic,Annual
Proto-West Germanic,Annual
Spanish,Annual
English,Annually
Middle English,Annually
Old English,Annually
Latin,Annually
Proto-Germanic,Annually
Proto-West Germanic,Annually
Spanish,Annually
English,Anoint
Proto-Indo-European,Anoint
Latin,Anoint
Proto-Italic,Anoint
Old French,Anoint
Middle English,Anoint
English,Anointed
Ancient Greek,Anomalous
English,Anomalous
Proto-Indo-European,Anomalous
Proto-Hellenic,Anomalous
Latin,Anomalous
Late Latin,Anomalous
Ancient Greek,Anomalously
English,Anomalously
Proto-Indo-European,Anomalously
Proto-Hellenic,Anomalously
Middle English,Anomalously
Old English,Anomalously
Latin,Anomalously
Late Latin,Anomalously
Proto-Germanic,Anomalously
Proto-West Germanic,Anomalously
Ancient Greek,Anomaly
English,Anomaly
Latin,Anomaly
Proto-Indo-European,Anomaly
Proto-Hellenic,Anomaly
Ancient Greek,Anon
English,Anon
French,Anon
Proto-Indo-European,Anon
Proto-Hellenic,Anon
Latin,Anon
Ancient Greek,Anonymous
English,Anonymous
Proto-Indo-European,Anonymous
Proto-Hellenic,Anonymous
Middle English,Anonymous
Old English,Anonymous
Late Latin,Anonymous
Proto-Germanic,Anonymous
Proto-West Germanic,Anonymous
English,Another
Middle English,Another
English,Answer
Proto-Indo-European,Answer
Old English,Answer
Proto-Germanic,Answer
Middle English,Answer
Proto-West Germanic,Answer
English,Answered
Latin,Ant
English,Ant
Ancient Greek,Ant
Proto-Indo-European,Ant
Proto-Italic,Ant
English,Antagonistic
Ancient Greek,Antagonistic
Proto-Indo-European,Antagonistic
Latin,Antagonistic
Proto-Italic,Antagonistic
French,Antagonistic
Italian,Antagonistic
Old French,Antagonistic
Portuguese,Antagonistic
Chichewa,Antagonistic
Spanish,Antagonistic
Old Portuguese,Antagonistic
Middle English,Antagonistic
Proto-Hellenic,Antagonistic
Proto-Indo-European,Antarctic
Ancient Greek,Antarctic
English,Antarctic
Latin,Antarctic
Old French,Antarctic
Middle English,Antarctic
Proto-Hellenic,Antarctic
English,Antecedent
Latin,Antecedent
Proto-Indo-European,Antecedent
Proto-Italic,Antecedent
Old French,Antecedent
Middle English,Antecedent
Indo-European,Antecedent
English,Antediluvian
Latin,Antediluvian
Ancient Greek,Antediluvian
Proto-Indo-European,Antediluvian
Proto-Italic,Antediluvian
Ancient Greek,Antelope
English,Antelope
Proto-Indo-European,Antelope
Proto-Hellenic,Antelope
Middle English,Antelope
Old French,Antelope
Greek,Antelope
Byzantine Greek,Antelope
Medieval Latin,Antelope
Latin,Antemosaic
English,Antemosaic
Proto-Indo-European,Antemosaic
Ancient Greek,Antemosaic
Middle French,Antemosaic
Italian,Antemosaic
Hebrew,Antemosaic
