"id","lat","long"
107,8.54626,53.5687
5918,-122.62465,47.56067
6492,-123.46804,48.57595
1014,3.56753,51.39825
1796,-4.49008,48.37197
2816,14.22462,45.14429
5139,9.70257,59.05997
2808,14.83751,44.22596
2317,0.74691,51.64281
5970,-73.17422,41.16323
7078,-59.63161,13.10756
2286,-0.1884,54.08035
3834,147.39853,-41.0002
1239,4.17469,51.91095
1658,1.02413,51.80448
3848,138.5123,-35.01716
1617,-0.10624,50.8104
2776,13.76975,44.91795
1449,6.39098,53.2532
1985,17.98319,40.65468
1498,9.71386,52.41701
108,153.13253,-27.40676
109,-3.51276,50.4016
2470,-9.8919,54.25346
6387,-75.68479,44.58477
93,-5.13629,55.5774
1452,4.81008,52.67398
110,11.4353,58.3544
1627,-2.97841,53.35796
3076,29.69012,59.93786
5280,12.20292,65.47293
4005,151.22341,-33.54491
111,122.22664,-17.9711
2440,-0.58332,53.72434
2325,-2.87355,56.46345
1197,3.83268,51.75174
1173,3.91401,51.72879
112,-97.36977,25.96233
5217,5.6648,59.0369
2509,3.22442,51.22193
1035,4.09076,51.66938
5944,-72.60099,42.26383
1510,9.15979,53.90305
6162,-81.49713,31.14032
3817,147.2879,-43.14223
1536,-0.75262,60.42173
2536,4.33677,50.85025
2282,-6.3485,49.95097
5341,12.11352,57.24134
7084,-56.1274,-34.90806
3334,-10.05477,5.85783
1583,-2.95933,57.68156
2418,-1.42257,50.80087
6250,-68.79924,44.5715
113,19.0448,47.4992
5561,-21.77606,65.11028
5501,126.56591,33.23592
2872,18.84174,42.28077
7017,-77.06439,3.87163
6811,-58.355,-34.58585
1421,8.85949,54.12065
1432,9.51147,53.65385
1880,-8.78554,42.32831
5961,-78.89411,42.87836
2772,14.41305,35.95405
3478,56.14589,26.14883
4010,103.75341,1.2366
3764,130.49861,-3.10022
6426,-53.88123,47.80979
7031,-69.0262,12.1885
3918,147.97054,-37.8844
3931,153.36598,-27.07446
3841,115.64779,-33.31747
3826,152.35889,-24.86042
3882,151.15091,-34.08211
2556,9.55197,52.3976
3560,51.086,28.53566
1863,-7.34853,43.65501
2897,27.48808,42.4656
6535,-57.6074,47.60897
2316,-3.49936,57.70157
1202,3.75759,51.67561
1286,11.18873,54.41175
874,5.99307,53.1855
2148,26.9277,39.48586
6258,-73.22406,44.47566
1697,0.81458,51.62455
3836,145.9173,-41.0554
2425,-2.06794,55.84215
5968,-87.15281,41.64378
6361,-90.92108,30.1312
