lang,word
Middle English,Step
Old English,Sun
Middle English,Sun
Proto-Germanic,Sun
Proto-West Germanic,Sun
Proto-Germanic,Tell
Middle English,Tell
Old English,Tell
Proto-Germanic,Thing
Old English,Thing
Old English,Whisper
Proto-Germanic,Whisper
Proto-Germanic,Will
Middle English,Will
Old English,Will
Proto-West Germanic,Will
Proto-Germanic,Word
Old English,Word
Middle English,Word
Proto-West Germanic,Word
